Wall time,Step,Value
1570882447.9988797,6,4.551432132720947
1570882454.5071447,16,1.1758204698562622
1570882456.4824712,19,0.6835976839065552
1570882465.523961,25,0.6834570169448853
1570882481.1614616,41,0.6529963612556458
1570882482.4646459,43,0.6459411382675171
1570882483.7652779,45,0.6003060340881348
1570882484.4166007,46,0.6286960244178772
1570882490.9453773,48,0.6299029588699341
1570882500.2748835,54,0.6179021000862122
1570882500.9126623,55,0.6275377869606018
1570882501.5714653,56,0.6215879321098328
1570882502.2257972,57,0.605926513671875
1570882508.2570474,66,0.6014898419380188
1570882517.7205815,72,0.5881232619285583
1570882518.4065142,73,0.5783966779708862
1570882519.0923393,74,0.5843343734741211
1570882519.7676558,75,0.5904008150100708
1570882528.5375621,80,0.5834755301475525
1570882534.02581,88,0.5667372941970825
1570882538.815157,95,0.5167197585105896
1570882555.1217227,103,0.4789998233318329
1570882557.185966,106,0.623870849609375
1570882557.8613389,107,1.0114998817443848
1570882562.6882007,114,0.5123668313026428
1570882566.147756,119,0.5214495658874512
1570882582.2634037,127,0.5223667025566101
1570882584.3407934,130,0.5361524224281311
1570882585.0418339,131,0.522617757320404
1570882591.337824,140,0.49667665362358093
1570882592.7300036,142,0.5060152411460876
1570882593.4410002,143,0.4937467873096466
1570882604.01147,151,0.47253450751304626
1570882612.620373,156,0.4357285499572754
1570882614.0157907,158,0.43846723437309265
1570882614.722725,159,0.4514819383621216
1570882617.5099523,163,0.4025154411792755
1570882621.0054212,168,0.4368796646595001
1570882621.7141562,169,0.40366455912590027
1570882628.9326925,172,0.42726096510887146
1570882638.2397063,178,0.3863823115825653
1570882638.9319358,179,0.4198206663131714
1570882642.4219663,184,0.40358954668045044
1570882643.8266366,186,0.4258091151714325
1570882644.5206141,187,0.4672541618347168
1570882647.3306909,191,0.4519672691822052
1570882648.0210884,192,0.45813265442848206
1570882658.075843,199,0.3865395486354828
1570882668.718403,207,0.378829687833786
1570882669.4024863,208,0.39439231157302856
1570882670.086012,209,0.4565678536891937
1570882672.847175,213,0.37746524810791016
1570882685.5836298,224,0.3845815062522888
1570882694.8263724,230,0.3562862277030945
1570882698.2619352,235,0.35877910256385803
1570882700.363936,238,0.37700337171554565
1570882714.1201313,250,0.3494463562965393
1570882723.468509,256,0.37222054600715637
1570882726.9425256,261,0.4008523225784302
1570882727.6292348,262,0.37369969487190247
1570882729.0176015,264,0.3589824140071869
1570882731.875667,268,0.39362967014312744
1570882740.0116196,272,0.3912127614021301
1570882741.4011228,274,0.35268375277519226
1570882750.1463208,279,0.35779324173927307
1570882759.9092546,293,0.38523799180984497
1570882768.6845138,298,0.35391148924827576
1570882769.3776321,299,0.3454565703868866
1570882777.4459803,303,0.38529837131500244
1570882778.1429312,304,0.35423776507377625
1570882780.9439325,308,0.3607821464538574
1570882781.6612113,309,0.3822423219680786
1570882783.119584,311,0.38525527715682983
1570882788.9244742,319,0.3312213718891144
1570882789.6423404,320,0.34609344601631165
1570882799.2558615,326,0.36615827679634094
