Wall time,Step,Value
1570399160.0070667,6,10.987181663513184
1570399160.0758352,7,8.956658363342285
1570399160.3573973,11,2.6436679363250732
1570399160.4292102,12,2.46170711517334
1570399160.638461,15,2.1020917892456055
1570399160.7155807,16,2.011493682861328
1570399160.9514277,19,1.2593692541122437
1570399161.030544,20,0.9565504193305969
1570399161.1074443,21,1.092978596687317
1570399161.404065,25,0.8811535239219666
1570399162.0701127,34,0.6711419820785522
1570399162.2903051,37,0.47243261337280273
1570399162.5951438,41,0.4714459478855133
1570399162.7456524,43,0.45107072591781616
1570399162.8978992,45,0.45729926228523254
1570399162.9764278,46,0.4988093674182892
1570399163.1285105,48,0.38632717728614807
1570399163.2835567,50,0.44308146834373474
1570399163.3617034,51,0.36470887064933777
1570399163.5909472,54,0.41741734743118286
1570399163.668912,55,0.37113192677497864
1570399163.7484136,56,0.3299592137336731
1570399163.8199048,57,0.35293281078338623
1570399163.893368,58,0.3221277892589569
1570399164.352832,64,0.3669533133506775
1570399164.4921029,66,0.27519768476486206
1570399164.5624506,67,0.23177771270275116
1570399164.6407266,68,0.17454823851585388
1570399164.729611,69,0.2045266479253769
1570399164.976189,72,0.24117791652679443
1570399165.055242,73,0.2410852611064911
1570399165.1221142,74,0.20410113036632538
1570399165.202053,75,0.34675782918930054
1570399165.5959609,80,0.2505645155906677
1570399165.9801016,85,0.25244981050491333
1570399166.2102861,88,0.23218707740306854
1570399166.3012397,89,0.2789826989173889
1570399166.7837331,95,0.33331921696662903
1570399167.4092596,103,0.16558854281902313
1570399167.6335378,106,0.27408185601234436
1570399167.7171016,107,0.13705337047576904
1570399168.290101,114,0.14041177928447723
1570399168.53281,117,0.07630345970392227
1570399168.7032409,119,0.14945022761821747
1570399169.1936088,125,0.12127789855003357
1570399169.2740457,126,0.20266398787498474
1570399169.3574548,127,0.11272799968719482
1570399169.5982533,130,0.1690848022699356
1570399169.6813562,131,0.14037080109119415
1570399170.2415767,138,0.23967519402503967
1570399170.4093564,140,0.09149391204118729
1570399170.5810466,142,0.10860859602689743
1570399170.6632652,143,0.13925546407699585
1570399170.7380018,144,0.1601613610982895
1570399171.29603,151,0.1476605087518692
1570399171.706143,156,0.15267916023731232
1570399171.8717353,158,0.052397072315216064
1570399171.951966,159,0.11557762324810028
1570399172.0370364,160,0.095798060297966
1570399172.292442,163,0.08708780258893967
1570399172.5229,166,0.10004089772701263
1570399172.689198,168,0.12486589699983597
1570399172.764963,169,0.10352704674005508
1570399173.0174034,172,0.11519652605056763
1570399173.4944975,178,0.13179892301559448
1570399173.5675201,179,0.13665637373924255
1570399173.7378864,181,0.08505373448133469
1570399173.9898589,184,0.13107623159885406
1570399174.168875,186,0.08265475183725357
1570399174.2648065,187,0.06554466485977173
1570399174.432974,189,0.07217901200056076
1570399174.585639,191,0.13327117264270782
1570399174.6617515,192,0.11374632269144058
1570399175.2504692,199,0.14776752889156342
1570399175.926003,207,0.08814112842082977
1570399175.9993885,208,0.1317889541387558
1570399176.073451,209,0.11673256754875183
1570399176.426029,213,0.18793165683746338
1570399177.2790382,223,0.10067783296108246
1570399177.3669562,224,0.07901784032583237
1570399177.5285265,226,0.14650246500968933
1570399177.707661,228,0.11616074293851852
1570399177.860993,230,0.09207920730113983
1570399178.0987341,233,0.07708651572465897
1570399178.1750407,234,0.08238112926483154
1570399178.270401,235,0.03440080210566521
1570399178.5516102,238,0.03751859813928604
1570399179.4412837,248,0.07683511078357697
1570399179.6173139,250,0.07652409374713898
1570399180.1531637,256,0.06485285609960556
1570399180.416454,259,0.053175557404756546
1570399180.5025117,260,0.03396027535200119
1570399180.5932906,261,0.08931206911802292
1570399180.684074,262,0.0491425022482872
1570399180.8573196,264,0.0905643105506897
1570399181.207921,268,0.05471571907401085
1570399181.3892143,270,0.12033876031637192
1570399181.5732884,272,0.06548693031072617
1570399181.759583,274,0.09343855828046799
1570399182.2071695,279,0.07999026775360107
1570399182.3837194,281,0.055516213178634644
1570399182.7468398,285,0.053438544273376465
1570399183.3780153,292,0.09582021087408066
1570399183.472878,293,0.08611306548118591
1570399183.9228919,298,0.07309281080961227
1570399184.0135949,299,0.08192803710699081
1570399184.1014204,300,0.06012516841292381
1570399184.2791378,302,0.06180335953831673
1570399184.3663487,303,0.07121851295232773
1570399184.4551456,304,0.08020178228616714
1570399184.8231604,308,0.025331994518637657
1570399184.9152074,309,0.04734703525900841
1570399185.1046758,311,0.09857317805290222
1570399185.3879282,314,0.04704834148287773
1570399185.7529967,318,0.048203736543655396
1570399185.8431196,319,0.10429854691028595
1570399185.9343123,320,0.06022438034415245
1570399186.0299551,321,0.07936840504407883
1570399186.2104342,323,0.06099197268486023
1570399186.485332,326,0.0594138540327549
1570399186.5732596,327,0.05535504221916199
1570399186.6653016,328,0.10684725642204285
1570399186.9458613,331,0.04957466572523117
1570399187.038523,332,0.08967176824808121
1570399187.21955,334,0.0424070879817009
1570399187.7635818,340,0.0874248817563057
1570399187.9470527,342,0.03535803407430649
1570399188.2221737,345,0.07892169058322906
1570399188.308808,346,0.10852224379777908
1570399188.4880319,348,0.07627610862255096
1570399188.579831,349,0.020356040447950363
1570399189.0415583,354,0.06668004393577576
1570399189.1372747,355,0.021286657080054283
1570399189.5149455,359,0.02157990075647831
1570399189.706381,361,0.08826089650392532
1570399189.9833884,364,0.04654523357748985
1570399190.3682408,368,0.0610555000603199
1570399190.7597318,372,0.07439466565847397
1570399190.955714,374,0.03648121654987335
1570399191.3319848,378,0.07917837053537369
1570399191.4245708,379,0.04105469211935997
1570399191.5150354,380,0.019688980653882027
1570399191.6975317,382,0.03420272842049599
1570399191.7949467,383,0.04639746993780136
