Wall time,Step,Value
1570401408.4349394,6,83.15327453613281
1570401408.4738386,7,83.33611297607422
1570401408.6363926,11,52.4049186706543
1570401408.678899,12,46.31502914428711
1570401408.8136616,15,45.120235443115234
1570401408.8438523,16,41.061973571777344
1570401408.9774325,19,30.427715301513672
1570401409.0105171,20,32.40485382080078
1570401409.0470808,21,23.470657348632812
1570401409.2024117,25,26.143592834472656
1570401409.588156,34,21.280546188354492
1570401409.74677,37,14.726933479309082
1570401409.9159732,41,15.082277297973633
1570401409.9952376,43,14.14799690246582
1570401410.0719798,45,15.453228950500488
1570401410.1338139,46,18.052165985107422
1570401410.2073824,48,13.925610542297363
1570401410.2754338,50,14.379905700683594
1570401410.3165567,51,11.271781921386719
1570401410.4461207,54,16.86393165588379
1570401410.4826956,55,15.108996391296387
1570401410.5356672,56,12.69351863861084
1570401410.5733106,57,12.44375228881836
1570401410.6216671,58,12.001562118530273
1570401410.8836396,64,16.05738067626953
1570401410.9600124,66,9.919435501098633
1570401411.0122418,67,12.651978492736816
1570401411.054193,68,8.32805061340332
1570401411.0917897,69,8.211928367614746
1570401411.2163258,72,8.500399589538574
1570401411.257652,73,12.705584526062012
1570401411.2961497,74,9.436864852905273
1570401411.339085,75,16.84087562561035
1570401411.5576236,80,12.933954238891602
1570401411.783102,85,13.844470024108887
1570401411.919906,88,8.486738204956055
1570401411.959943,89,11.302922248840332
1570401412.2528121,95,8.156972885131836
1570401412.589405,103,8.082533836364746
1570401412.7358284,106,12.316726684570312
1570401412.7835896,107,7.063401699066162
1570401413.1029153,114,6.854090213775635
1570401413.2430346,117,3.752742052078247
1570401413.3300672,119,5.571043014526367
1570401413.6291165,125,6.412137985229492
1570401413.6717823,126,5.391254901885986
1570401413.71378,127,7.369953155517578
1570401413.856849,130,7.657409191131592
1570401413.9038057,131,7.518002986907959
1570401414.213052,138,11.919347763061523
1570401414.315174,140,6.005469799041748
1570401414.413207,142,6.004997253417969
1570401414.4661283,143,5.305637836456299
1570401414.5072062,144,9.355908393859863
1570401414.830096,151,6.69544792175293
1570401415.0595295,156,8.576934814453125
1570401415.176962,158,6.29141902923584
1570401415.2222657,159,5.705093860626221
1570401415.2666366,160,6.101646423339844
1570401415.4242299,163,6.2756571769714355
1570401415.541152,166,7.857141494750977
1570401415.6452312,168,7.458162307739258
1570401415.6811032,169,5.5750932693481445
1570401415.8441405,172,5.093651294708252
1570401416.134858,178,6.856485366821289
1570401416.1767313,179,5.868497848510742
1570401416.255964,181,6.244655609130859
1570401416.4008024,184,8.630745887756348
1570401416.5015247,186,6.973870277404785
1570401416.5682945,187,7.22802209854126
1570401416.673215,189,4.367166519165039
1570401416.7764955,191,5.606856346130371
