Wall time,Step,Value
1570391360.9527526,6,46.06473922729492
1570391361.0133462,7,43.12627410888672
1570391361.237295,11,19.482311248779297
1570391361.2934265,12,11.755168914794922
1570391361.4563043,15,6.996757984161377
1570391361.5133224,16,8.431496620178223
1570391361.6801445,19,5.180051803588867
1570391361.7351406,20,5.386306285858154
1570391361.790127,21,5.672573566436768
1570391362.0200763,25,4.166384220123291
1570391362.5549045,34,4.044458866119385
1570391362.7257376,37,2.102264165878296
1570391362.9591212,41,1.822829008102417
1570391363.0737216,43,1.9237010478973389
1570391363.1876369,45,2.2650344371795654
1570391363.24567,46,2.0622668266296387
1570391363.367625,48,1.5719811916351318
1570391363.4777763,50,2.1339259147644043
1570391363.5351768,51,1.0162436962127686
1570391363.7012515,54,2.4672958850860596
1570391363.760885,55,1.433192491531372
1570391363.8173764,56,1.515863060951233
1570391363.8733456,57,1.5927962064743042
1570391363.9318702,58,1.4512730836868286
1570391364.2747128,64,1.4885051250457764
1570391364.3841043,66,1.4110939502716064
1570391364.4333253,67,0.9413298964500427
1570391364.487461,68,1.0084933042526245
1570391364.5450833,69,1.270329475402832
1570391364.7249577,72,0.7661262154579163
1570391364.7862887,73,1.2535678148269653
1570391364.8440092,74,0.7446576356887817
1570391364.9045064,75,2.135038137435913
1570391365.1876817,80,1.35245943069458
1570391365.4572515,85,1.6413880586624146
1570391365.6159317,88,1.0487583875656128
1570391365.6736138,89,1.1553274393081665
1570391366.0069082,95,1.2549587488174438
1570391366.4668021,103,0.687105119228363
1570391366.6457155,106,1.5444508790969849
1570391366.7044995,107,0.6978750824928284
1570391367.10647,114,0.5591758489608765
1570391367.2814593,117,0.4887317717075348
1570391367.4072516,119,0.4261808395385742
1570391367.7329867,125,0.6222705245018005
1570391367.7851543,126,0.6126866340637207
1570391367.836295,127,0.7700361013412476
1570391368.0106704,130,0.7715590596199036
1570391368.068233,131,0.7986406087875366
1570391368.48075,138,1.2511420249938965
1570391368.599055,140,0.40862664580345154
1570391368.7255065,142,0.45671114325523376
1570391368.7836838,143,0.6281182765960693
1570391368.8387327,144,1.0572932958602905
1570391369.2415466,151,0.7727620601654053
1570391369.5286787,156,0.8248947262763977
1570391369.637734,158,0.39644959568977356
1570391369.6930056,159,0.47311028838157654
1570391369.762061,160,0.6597263813018799
1570391369.941032,163,0.626353919506073
1570391370.1344702,166,0.47989988327026367
1570391370.246767,168,0.5509276390075684
1570391370.3023565,169,0.5119938254356384
1570391370.464354,172,0.6609268188476562
1570391370.8056538,178,0.39423587918281555
1570391370.8681283,179,0.669338583946228
1570391370.9800718,181,0.5121147632598877
1570391371.1723704,184,0.5290192365646362
1570391371.2842696,186,0.5775063633918762
1570391371.3404574,187,0.23508702218532562
1570391371.450319,189,0.4751990735530853
1570391371.562574,191,0.580919623374939
1570391371.6263237,192,0.3198227286338806
1570391372.068532,199,0.6221240162849426
1570391372.5320106,207,0.42788028717041016
1570391372.5908313,208,0.4364900290966034
1570391372.6528528,209,0.6247507929801941
1570391372.8959277,213,0.756477415561676
1570391373.4608352,223,0.3951394557952881
1570391373.5156336,224,0.4499601423740387
1570391373.6423066,226,0.7525465488433838
1570391373.775005,228,0.44243475794792175
1570391373.8873649,230,0.35966694355010986
1570391374.0672772,233,0.31618908047676086
1570391374.1210282,234,0.23308078944683075
1570391374.1756709,235,0.38399168848991394
1570391374.3551793,238,0.27952250838279724
1570391374.9613044,248,0.26442623138427734
1570391375.0763755,250,0.305575966835022
1570391375.469494,256,0.37108314037323
1570391375.6421654,259,0.2974722683429718
1570391375.6949081,260,0.17563802003860474
1570391375.7504256,261,0.42043763399124146
1570391375.806017,262,0.2429979145526886
1570391375.9134378,264,0.3998383581638336
1570391376.1671944,268,0.3078974187374115
1570391376.28495,270,0.2303987592458725
1570391376.393027,272,0.3595096468925476
1570391376.5123193,274,0.4417092204093933
1570391376.7870076,279,0.24847254157066345
1570391376.9063869,281,0.2053159475326538
1570391377.1228442,285,0.33896738290786743
1570391377.5343535,292,0.23875825107097626
1570391377.5973897,293,0.2769785225391388
1570391377.8931334,298,0.113115593791008
1570391377.9520729,299,0.3013749420642853
1570391378.0078182,300,0.1974930614233017
1570391378.1204395,302,0.21069499850273132
1570391378.1758578,303,0.19282636046409607
1570391378.2417703,304,0.2071492224931717
1570391378.4957397,308,0.19374214112758636
1570391378.5589192,309,0.2379990518093109
1570391378.6716077,311,0.37006720900535583
1570391378.8361213,314,0.23784175515174866
1570391379.0566952,318,0.18503473699092865
1570391379.1129234,319,0.3274061679840088
1570391379.16907,320,0.17973187565803528
1570391379.2333593,321,0.2849299907684326
1570391379.3631291,323,0.44892749190330505
1570391379.5372725,326,0.40469685196876526
1570391379.591718,327,0.19812998175621033
1570391379.6573696,328,0.1742660254240036
1570391379.8292193,331,0.17247912287712097
1570391379.884893,332,0.35577958822250366
1570391379.9989607,334,0.17766165733337402
1570391380.3555381,340,0.3185095191001892
1570391380.4747405,342,0.2381165772676468
1570391380.685642,345,0.24137429893016815
1570391380.7467344,346,0.4209592044353485
1570391380.8780587,348,0.19210220873355865
1570391380.936662,349,0.26422396302223206
1570391381.2648141,354,0.1221596747636795
1570391381.330811,355,0.17070040106773376
1570391381.5802891,359,0.11975225806236267
1570391381.696962,361,0.1770329624414444
1570391381.8963153,364,0.10066981613636017
1570391382.1576033,368,0.16237768530845642
1570391382.3875012,372,0.1216307282447815
1570391382.5005744,374,0.17663300037384033
1570391382.7571518,378,0.2864474356174469
1570391382.8151076,379,0.21074651181697845
1570391382.8700027,380,0.09495283663272858
1570391383.009755,382,0.11170274764299393
1570391383.077279,383,0.10205454379320145
1570391383.3107138,387,0.09726918488740921
1570391383.3691332,388,0.21554602682590485
1570391383.5992136,392,0.2311888337135315
1570391383.6613014,393,0.18963231146335602
1570391383.7185295,394,0.25790631771087646
1570391384.344024,404,0.2348722368478775
1570391384.6580791,409,0.12951040267944336
1570391385.1018121,416,0.1835639923810959
1570391385.1605468,417,0.13635395467281342
1570391385.458532,422,0.1644643098115921
1570391385.5241084,423,0.06120673194527626
1570391385.6649187,425,0.1900242120027542
1570391385.7848063,427,0.09471406787633896
1570391386.0321124,431,0.18042947351932526
1570391386.600853,440,0.1363927274942398
1570391386.6596804,441,0.10498038679361343
1570391386.7211862,442,0.11329535394906998
1570391386.7834935,443,0.25717294216156006
1570391386.9632232,446,0.22387830913066864
1570391387.3311107,452,0.1628037840127945
1570391387.7703536,459,0.20175400376319885
1570391387.8277123,460,0.14260484278202057
1570391387.891166,461,0.286539226770401
1570391387.9542608,462,0.13736456632614136
1570391388.0849638,464,0.14316660165786743
1570391388.1524615,465,0.11648983508348465
1570391388.3381088,468,0.09006570279598236
1570391388.3987203,469,0.14087456464767456
1570391388.7399805,474,0.11482281982898712
1570391388.7978432,475,0.16614803671836853
1570391389.065058,479,0.05544194206595421
1570391389.5159729,486,0.05889095366001129
1570391389.7133057,489,0.13937516510486603
1570391389.7738042,490,0.10333281755447388
1570391389.8962455,492,0.11782759428024292
1570391390.0235026,494,0.0679202526807785
1570391390.2187676,497,0.08856426924467087
1570391390.8928685,508,0.14408181607723236
1570391391.0743492,511,0.1550857424736023
1570391391.1508381,512,0.1310511976480484
1570391391.2174168,513,0.13376368582248688
1570391391.343551,515,0.1504513919353485
1570391391.4809012,517,0.10367107391357422
1570391391.5446851,518,0.04947516694664955
1570391391.673934,520,0.11451306194067001
1570391392.0088975,525,0.09876961261034012
1570391392.0788805,526,0.08145738393068314
1570391392.4772055,532,0.07305038720369339
1570391392.6281652,534,0.29880383610725403
1570391392.689589,535,0.08938458561897278
1570391392.750271,536,0.09032019227743149
1570391392.8114545,537,0.07675813138484955
1570391392.871733,538,0.05174821987748146
1570391392.9310784,539,0.09166084975004196
1570391393.0493815,541,0.046691589057445526
1570391393.1133401,542,0.07272009551525116
1570391393.1761806,543,0.056801002472639084
1570391393.5201132,548,0.04966071993112564
1570391393.5889761,549,0.1470966935157776
1570391393.6511533,550,0.10512111335992813
1570391393.7958243,552,0.05162721127271652
1570391394.0764277,556,0.07188595086336136
1570391394.1968822,558,0.07225381582975388
1570391394.3230278,560,0.08402405679225922
1570391394.5697074,564,0.08479616791009903
1570391394.634136,565,0.09283886849880219
1570391394.6971128,566,0.14987966418266296
1570391394.959187,570,0.021997295320034027
1570391395.2149634,574,0.05021676421165466
1570391395.2834759,575,0.11093273758888245
1570391395.4727833,578,0.09575504064559937
1570391395.600947,580,0.08507923036813736
1570391395.6634707,581,0.20980238914489746
1570391395.724416,582,0.09574975818395615
1570391395.800247,583,0.09400155395269394
1570391395.8645136,584,0.08895111083984375
1570391395.9264638,585,0.08632361888885498
1570391396.0767937,587,0.030020302161574364
1570391396.148716,588,0.06320609897375107
1570391396.4767897,593,0.10987182706594467
1570391396.540927,594,0.04305132478475571
1570391396.750259,597,0.006034260615706444
1570391396.817923,598,0.04230518266558647
1570391397.0153015,601,0.05801551789045334
1570391397.1487205,603,0.19753970205783844
1570391397.41702,607,0.036042921245098114
1570391397.5553987,609,0.13950924575328827
1570391397.7042553,611,0.08696065843105316
1570391397.8564725,613,0.12851272523403168
1570391398.0624092,616,0.043980348855257034
1570391398.349229,620,0.025662939995527267
1570391398.4208999,621,0.16294804215431213
1570391398.5673397,623,0.026798304170370102
1570391398.7694073,626,0.10343118757009506
1570391399.0437632,630,0.04773011803627014
1570391399.3878422,635,0.11880837380886078
1570391399.917294,642,0.0760999247431755
1570391399.9866881,643,0.03499007970094681
1570391400.1317582,645,0.08949217200279236
1570391400.2013521,646,0.06890437752008438
1570391400.2692533,647,0.030422577634453773
1570391400.3460789,648,0.012678625993430614
1570391400.420923,649,0.03189993277192116
1570391400.4963691,650,0.051295578479766846
1570391400.694598,653,0.040543098002672195
1570391400.9600985,657,0.04583432525396347
1570391401.0230424,658,0.030097011476755142
1570391401.2884543,662,0.019066544249653816
1570391401.5029929,665,0.05241939425468445
1570391401.6392689,667,0.023217003792524338
1570391401.7803066,669,0.09535262733697891
1570391401.9867845,672,0.015993358567357063
1570391402.0584977,673,0.06371068954467773
1570391402.1237028,674,0.03149823844432831
1570391402.189561,675,0.06385287642478943
1570391402.2555428,676,0.027846407145261765
1570391402.402385,678,0.03537127375602722
1570391402.4771252,679,0.08310483396053314
1570391402.5484793,680,0.024517852813005447
1570391402.7141936,682,0.016364704817533493
1570391402.7970395,683,0.05635479837656021
1570391402.873614,684,0.07238791882991791
1570391402.9414084,685,0.037374742329120636
1570391403.074911,687,0.0368228480219841
1570391403.210711,689,0.059056464582681656
1570391403.2794092,690,0.020672783255577087
1570391403.809523,697,0.031175656244158745
1570391404.0359824,700,0.07006767392158508
1570391404.1155453,701,0.07194651663303375
1570391404.1975067,702,0.04392335191369057
1570391404.3537657,704,0.03920604661107063
1570391404.565176,707,0.03555452451109886
1570391404.7199907,709,0.09161781519651413
1570391404.8659167,711,0.03413825482130051
1570391405.1630528,715,0.04071160778403282
1570391405.4603093,719,0.027644794434309006
1570391405.686385,722,0.07653743028640747
1570391405.7604275,723,0.1432924121618271
1570391405.83314,724,0.03095931187272072
1570391405.905603,725,0.01851351372897625
1570391405.9747488,726,0.02217925898730755
1570391406.3479857,731,0.05901969224214554
1570391406.7788742,737,0.04358658939599991
1570391406.9207363,739,0.0368785634636879
1570391406.9990828,740,0.006169226486235857
1570391407.0865986,741,0.11225324869155884
1570391407.1631749,742,0.011988886632025242
1570391407.3288226,744,0.10213183611631393
1570391407.558618,747,0.023499783128499985
1570391407.6302474,748,0.035737067461013794
1570391407.8407505,751,0.02324720472097397
1570391407.9122095,752,0.014939782209694386
1570391407.9863048,753,0.0357227697968483
1570391408.1210458,755,0.07365354895591736
1570391408.2648122,757,0.09385010600090027
1570391408.7104638,763,0.019047314301133156
1570391408.9331996,766,0.04277029260993004
1570391409.0056646,767,0.045027341693639755
1570391409.2199776,770,0.07663071900606155
1570391409.299052,771,0.042790960520505905
1570391409.3718996,772,0.024657350033521652
1570391409.5359066,774,0.0903828963637352
1570391409.6076367,775,0.020432118326425552
1570391409.6912284,776,0.042197681963443756
1570391410.0547242,781,0.011210622265934944
1570391410.3422263,785,0.03095325455069542
1570391410.4249516,786,0.008275920525193214
1570391410.5845673,788,0.015149914659559727
1570391410.7434561,790,0.012091741897165775
1570391410.8873992,792,0.013114061206579208
1570391410.955561,793,0.05179808288812637
